S.No,Station,City,Mode of PS,Discipline,Industry Domain,Project Domain,Projects,Remarks
222,MindPeers - Non Tech,New Delhi,Online,Any,Healthcare,Management/Product Management/Clinical Product/Digital Content/UI/UX Design,1,"Announced on March 22, 2024"
7,ABC Consultants Pvt. Ltd,New Delhi,Online,Any,Management,Management/Data Analytics,3,"Announced on March 22, 2024"
181,Integrity Data Services Pvt. Ltd. - Corporate Research,Ahmedabad,Online ,Any,Consulting,Management/Corporate Research,1,"Announced on March 22, 2024"
182,Integrity Data Services Pvt. Ltd. - Digital Marketing,Ahmedabad,Online ,Any,Consulting,Management/Digital Marketing ,1,"Announced on March 22, 2024"
183,Integrity Data Services Pvt. Ltd. - HR Management,Ahmedabad,Online ,Any,Consulting,Management/HR Management,1,"Announced on March 22, 2024"
323,Stackwalls Technologies Private Limited - Non Tech,Ahmedabad,Online,Any,IT,Management/Marketing & Sales/Project Management & Client Relations/Graphic Designing/Video Editing,2,"Announced on March 22, 2024"
36,Avidia Labs - Non Tech,Bengaluru,Online,Any,IT,Management/Game Creator/3D Designer/Sales & Marketing/Curriculum Designer,4,"Announced on March 22, 2024"
174,Industrial47,Bengaluru,Online,Any,Management,Management/Market Research/Graphic Design/Startup Scouting/Video Audio Editing/Content Writing,4,"Announced on March 22, 2024"
267,Paddleboat Private Limited - Business Development,Chennai,Online,Any,IT,Management/Business Development,1,"Announced on March 22, 2024"
268,Paddleboat Private Limited - Marketing,Chennai,Online,Any,IT,Management/Marketing,1,"Announced on March 22, 2024"
269,"Paddleboat Private Limited - Product Design, User Experience",Chennai,Online,Any,IT,Management/Product Design,1,"Announced on March 22, 2024"
270,Paddleboat Private Limited - Product Management,Chennai,Online,Any,IT,Management/Product Management,1,"Announced on March 22, 2024"
74,Consulting & Beyond - Forecasting,Chennai,Online,Any,Management,Management/Digital Marketing/Supply Chain/Dashboard Creation/Sales,3,"Announced on March 22, 2024"
50,Boston Polymers,Gurugram,Online,"A4, AB, Any",Manufacturing,Manufacturing/R&D/Raw Material Import Analysis/Inventory Management,1,"Announced on March 22, 2024"
51,Boston Polymers - Marketing,Gurugram,Online,Any,Manufacturing,Marketing/Digital Marketing ,5,"Announced on March 22, 2024"
207,Loft Of Space - Business Analyst,Jaipur,Online,"A7, A3, AA",Management,Management/Business Analyst,4,"Announced on March 22, 2024"
227,My Web Partner - Non Tech,"Jalalabad, Punjab",Online,Any,Others,Management/Graphic Designing/Video Editing/Digital Marketing,2,"Announced on March 22, 2024"
348,Unicornfinity Technologies Pvt. Ltd,Kolkata,Online,Any,Management,Management/Business Development,2,"Announced on March 22, 2024"
175,Infinite Analytics - Non Tech,Mumbai/Boston,Online,Any,IT,Management/Product Management/Marketing/Strategy (Consulting),3,"Announced on March 22, 2024"
295,Resilience Innovation Knowledge Academy (RIKA) India Pvt. Ltd ,New Delhi,Online,Any,Management,Management/Disaster Management/Climate Change Adaptation,2,"Announced on March 22, 2024"
358,Vendorskart Online Services Pvt. Ltd,New delhi,Online,"B3, Any",Management,Management/Marketing/Finance,1,"Announced on March 22, 2024"
261,Optimum Steels - Management,New Delhi,Online,Any,Manufacturing,Management/Business Development/Operations Management/Sales & CRM,3,"Announced on March 22, 2024"
131,GPLAN Services Private Limited - Non IT,Pilani,Online,"Any, B3",IT,"Management/Strategic Business Development for Product Management, Marketing and Branding",1,"Announced on March 22, 2024"
69,Codelift Academy Private Limited - Non Tech,"Rampur, Bilaspur",Online,Any,Edtech,Management/Operations/Product Management,2,"Announced on March 22, 2024"
262,Orchid Metal Scrap Trading LLC,Sharjah,Online,Any,Management,Management/International Trade & Banking,3,"Announced on March 22, 2024"
190,JSW Steel,Vijaynagar,Online ,Any,Steel,Mechanical,1,"Announced on March 22, 2024"
147,IDS Infotech Ltd,Mohali,Online,Any,IT,IT/Details awaited,1,"Announced on March 22, 2024"
71,Coditation Systems Pvt. Ltd.,Pune,Online,A7,IT,IT/Details awaited,1,"Announced on March 22, 2024"
,,,,,,,158,
